fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2020-S21;64;56;125;5328;6254;11817;09;7763205.6862729
FR;2020-S21;146;100;253;6401;6314;12893;19;8336486.16053724
FR;2020-S21;306;247;556;17343;12302;29847;29;7476787.18780411
FR;2020-S21;280;228;520;19959;13672;33845;39;8295371.93193955
FR;2020-S21;317;257;577;19213;13580;33026;49;8592886.15993015
FR;2020-S21;302;257;561;19562;14656;34428;59;8792674.76801071
FR;2020-S21;189;219;411;14111;13497;27828;69;8004082.76030424
FR;2020-S21;206;231;438;11785;12084;24030;79;5695639.13079729
FR;2020-S21;449;225;674;13641;8916;22688;89;3245280.60813097
FR;2020-S21;447;107;556;9795;3150;13025;90;912580.606272853
FR;2020-S21;2706;1930;4677;137167;104474;243539;0;67114995
FR;2020-S22;60;59;137;6186;7410;13928;09;7763205.6862729
FR;2020-S22;109;171;285;7988;8689;16913;19;8336486.16053724
FR;2020-S22;282;300;590;19018;14687;34023;29;7476787.18780411
FR;2020-S22;269;241;515;21207;15342;36858;39;8295371.93193955
FR;2020-S22;283;259;549;20558;15071;35905;49;8592886.15993015
FR;2020-S22;271;180;456;21280;16229;37778;59;8792674.76801071
FR;2020-S22;174;178;355;15903;15570;31704;69;8004082.76030424
FR;2020-S22;140;141;287;13404;14129;27760;79;5695639.13079729
FR;2020-S22;285;152;440;15221;9931;25331;89;3245280.60813097
FR;2020-S22;317;59;376;9951;3315;13323;90;912580.606272853
FR;2020-S22;2191;1741;4024;150777;120441;273803;0;67114995
FR;2020-S23;47;59;116;4720;5792;10727;09;7763205.6862729
FR;2020-S23;96;95;197;6761;6896;13883;19;8336486.16053724
FR;2020-S23;233;205;443;14234;11804;26318;29;7476787.18780411
FR;2020-S23;259;202;470;15660;11963;27902;39;8295371.93193955
FR;2020-S23;236;200;443;14972;11834;27075;49;8592886.15993015
FR;2020-S23;212;180;395;15801;13265;29390;59;8792674.76801071
FR;2020-S23;135;155;293;12987;13612;26881;69;8004082.76030424
FR;2020-S23;118;117;237;11599;12481;24340;79;5695639.13079729
FR;2020-S23;216;121;337;12280;8466;20931;89;3245280.60813097
FR;2020-S23;210;55;266;7772;2746;10606;90;912580.606272853
FR;2020-S23;1762;1396;3230;116828;98896;218244;0;67114995
FR;2020-S24;75;98;201;4687;5398;11373;09;7763205.6862729
FR;2020-S24;118;112;270;6603;6623;15247;19;8336486.16053724
FR;2020-S24;237;219;511;13972;11131;28391;29;7476787.18780411
FR;2020-S24;277;221;537;15466;11681;30643;39;8295371.93193955
FR;2020-S24;224;202;468;14609;11832;29976;49;8592886.15993015
