reg;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
01;2020-S21;0;0;0;7;4;11;09;40134
01;2020-S21;1;0;1;13;27;40;19;50483
01;2020-S21;1;0;1;70;50;120;29;34558
01;2020-S21;1;0;1;37;37;75;39;37149
01;2020-S21;1;0;1;45;41;86;49;48928
01;2020-S21;0;1;1;58;44;102;59;60524
01;2020-S21;2;0;2;52;41;93;69;51113
01;2020-S21;0;0;0;26;19;45;79;33062
01;2020-S21;0;0;0;6;7;14;89;16008
01;2020-S21;0;0;0;6;0;6;90;4920
01;2020-S21;6;1;7;320;270;592;0;376879
02;2020-S21;2;0;2;11;20;31;09;33991
02;2020-S21;0;0;0;22;17;39;19;43014
02;2020-S21;2;0;2;56;57;113;29;31496
02;2020-S21;0;0;0;49;37;86;39;34280
02;2020-S21;0;2;2;51;39;90;49;42967
02;2020-S21;0;0;0;57;67;124;59;62671
02;2020-S21;0;0;0;40;53;93;69;52556
02;2020-S21;0;0;0;22;19;41;79;33509
02;2020-S21;0;0;0;4;5;9;89;18767
02;2020-S21;0;0;0;3;1;4;90;5498
02;2020-S21;4;2;6;317;315;632;0;358749
03;2020-S21;0;2;2;18;11;37;09;62043
03;2020-S21;8;9;21;40;46;124;19;58638
03;2020-S21;11;18;30;71;54;140;29;40421
03;2020-S21;8;7;20;69;79;169;39;39602
03;2020-S21;7;12;19;50;59;128;49;34757
03;2020-S21;3;2;6;39;45;95;59;27026
03;2020-S21;1;2;3;21;30;60;69;17446
03;2020-S21;1;0;1;13;12;28;79;7368
03;2020-S21;0;0;0;5;3;9;89;2721
03;2020-S21;0;0;0;0;2;2;90;669
03;2020-S21;39;52;102;326;341;792;0;290691
04;2020-S21;0;0;0;42;46;88;09;121691
04;2020-S21;1;0;1;126;114;240;19;134452
04;2020-S21;0;1;1;268;226;494;29;98215
04;2020-S21;0;0;0;253;187;440;39;104568
04;2020-S21;0;1;1;225;188;414;49;113615
04;2020-S21;1;2;3;234;261;495;59;125597
04;2020-S21;0;1;1;209;241;450;69;89851
04;2020-S21;0;1;1;151;181;332;79;46693
04;2020-S21;0;1;1;82;65;147;89;20815
04;2020-S21;0;0;0;16;10;26;90;4462
04;2020-S21;2;7;9;1606;1519;3126;0;859959
05;2020-S21;0;0;0;0;0;0;09;703.704828175651
05;2020-S21;0;0;0;0;0;0;19;723.725880519921
05;2020-S21;0;0;0;0;0;0;29;475.133162078732
05;2020-S21;0;0;0;0;0;1;39;764.547319147651
05;2020-S21;0;0;0;0;0;0;49;1017.17633756848
05;2020-S21;0;0;0;0;0;0;59;978.233665832332
05;2020-S21;0;0;0;0;0;0;69;674.735312241807
05;2020-S21;0;0;0;0;0;0;79;405.196420115493
05;2020-S21;0;0;0;0;0;0;89;210.595968638888
05;2020-S21;0;0;0;0;0;0;90;43.9511056810479
05;2020-S21;0;0;0;0;0;1;0;5997
06;2020-S21;0;0;0;7;3;10;09;84963
06;2020-S21;4;1;5;11;7;18;19;65294
06;2020-S21;2;0;2;11;3;14;29;36651
06;2020-S21;3;3;6;15;9;24;39;37697
06;2020-S21;1;1;2;17;11;28;49;28132
06;2020-S21;0;0;0;6;6;12;59;14768
06;2020-S21;0;0;0;4;3;7;69;7746
06;2020-S21;0;0;0;0;2;2;79;3034
06;2020-S21;0;0;0;1;1;2;89;1005
06;2020-S21;0;0;0;0;0;0;90;181
06;2020-S21;10;5;15;72;45;117;0;279471
07;2020-S21;0;0;0;0;0;0;09;1034
07;2020-S21;0;0;0;1;0;1;19;835
07;2020-S21;0;0;0;2;0;2;29;1605
07;2020-S21;0;0;0;0;3;3;39;1752
07;2020-S21;0;0;0;1;0;1;49;1808
07;2020-S21;0;0;0;2;1;3;59;1548
07;2020-S21;0;0;0;0;1;1;69;742
07;2020-S21;0;0;0;1;0;1;79;421
07;2020-S21;0;0;0;0;0;0;89;181
07;2020-S21;0;0;0;0;0;0;90;35
07;2020-S21;0;0;0;7;5;12;0;9961
08;2020-S21;0;0;0;1;0;1;09;5712.98144471701
08;2020-S21;0;0;0;1;3;4;19;5939.43465671908
08;2020-S21;1;0;1;1;2;3;29;3799.05464202964
08;2020-S21;0;0;0;2;10;12;39;4598.38462039786
08;2020-S21;0;0;0;1;15;16;49;5611.98359257117
08;2020-S21;0;0;0;2;9;11;59;5042.53434487755
08;2020-S21;0;0;0;4;0;4;69;3060.02499200135
08;2020-S21;0;0;0;1;3;4;79;1152.93437717932
08;2020-S21;0;0;0;0;1;1;89;346.012162334751
08;2020-S21;0;0;0;0;0;0;90;70.6551671722845
08;2020-S21;1;0;1;13;43;56;0;35334
11;2020-S21;15;11;28;1068;1323;2447;09;1594856
11;2020-S21;35;22;57;1165;1173;2357;19;1546109
11;2020-S21;69;68;137;3312;2619;5939;29;1651917
11;2020-S21;79;49;130;4192;2899;7101;39;1757848
11;2020-S21;75;63;139;3646;2870;6528;49;1671811
11;2020-S21;60;79;139;3708;2920;6651;59;1538636
11;2020-S21;51;71;122;2779;2720;5511;69;1177841
11;2020-S21;56;66;122;2291;2226;4526;79;792962
11;2020-S21;140;63;203;2435;1489;3929;89;424358
11;2020-S21;136;21;158;1725;514;2242;90;121872
11;2020-S21;716;513;1237;26331;20763;47271;0;12278210
24;2020-S21;6;4;10;178;193;377;09;284406
24;2020-S21;9;4;13;252;209;466;19;314164
24;2020-S21;16;12;28;696;494;1191;29;248773
24;2020-S21;11;13;24;736;525;1262;39;292368
24;2020-S21;16;8;24;732;489;1222;49;320587
24;2020-S21;14;10;24;723;536;1259;59;340563
24;2020-S21;10;4;14;556;513;1069;69;330686
24;2020-S21;12;10;22;507;498;1005;79;240021
24;2020-S21;15;11;26;518;397;915;89;144224
24;2020-S21;9;2;11;388;131;519;90;43281
24;2020-S21;118;78;196;5288;3986;9288;0;2559073
27;2020-S21;0;0;1;211;242;455;09;293052
27;2020-S21;3;3;6;276;276;553;19;333965
27;2020-S21;16;5;21;724;433;1157;29;276000
27;2020-S21;5;5;10;912;509;1421;39;315411
27;2020-S21;14;8;22;836;504;1340;49;341897
27;2020-S21;10;9;19;905;649;1556;59;373767
27;2020-S21;8;11;19;652;671;1323;69;370797
27;2020-S21;10;12;22;568;653;1222;79;274422
27;2020-S21;22;10;32;675;434;1109;89;158471
27;2020-S21;14;0;14;440;145;585;90;45257
27;2020-S21;102;63;166;6199;4517;10722;0;2783039
28;2020-S21;0;2;2;231;255;492;09;367591
28;2020-S21;1;0;2;235;246;489;19;413746
28;2020-S21;10;4;14;565;356;922;29;341929
28;2020-S21;4;2;6;667;490;1160;39;385115
28;2020-S21;3;4;7;682;487;1172;49;407095
28;2020-S21;6;2;8;675;529;1204;59;435868
28;2020-S21;1;9;10;591;615;1207;69;428446
28;2020-S21;5;5;10;515;562;1077;79;298735
28;2020-S21;10;5;15;557;347;905;89;175068
28;2020-S21;16;3;19;308;125;433;90;49907
28;2020-S21;56;36;93;5026;4013;9062;0;3303500
32;2020-S21;5;5;10;449;506;960;09;731751
32;2020-S21;20;13;33;520;481;1002;19;793787
32;2020-S21;30;15;45;1538;1118;2658;29;690891
32;2020-S21;33;23;56;1878;1304;3185;39;752457
32;2020-S21;46;29;75;1716;1420;3139;49;759226
32;2020-S21;42;33;75;1613;1264;2880;59;763464
32;2020-S21;23;29;52;1197;1100;2299;69;702149
32;2020-S21;34;22;56;956;922;1884;79;452001
32;2020-S21;57;27;84;1182;662;1847;89;253185
32;2020-S21;67;13;80;852;226;1078;90;63751
32;2020-S21;357;209;566;11904;9010;20942;0;5962662
44;2020-S21;7;8;15;420;478;914;09;598364
44;2020-S21;27;12;40;601;582;1192;19;659759
44;2020-S21;45;24;69;1701;1260;2968;29;616448
44;2020-S21;27;21;48;1894;1318;3218;39;675514
44;2020-S21;45;38;83;1994;1295;3291;49;694218
44;2020-S21;55;33;88;2149;1652;3804;59;754610
44;2020-S21;41;30;71;1575;1493;3070;69;703015
44;2020-S21;24;42;66;1200;1198;2402;79;465823
44;2020-S21;70;27;97;1464;936;2402;89;276017
44;2020-S21;45;17;62;933;275;1209;90;67979
44;2020-S21;386;252;639;13932;10488;24473;0;5511747
52;2020-S21;5;2;8;334;367;739;09;437494
52;2020-S21;5;8;13;366;356;740;19;496015
52;2020-S21;16;12;29;749;541;1345;29;397640
52;2020-S21;20;15;37;895;572;1506;39;456089
52;2020-S21;11;16;27;830;560;1433;49;487292
52;2020-S21;20;9;29;731;525;1270;59;483216
52;2020-S21;2;10;13;462;424;899;69;463141
52;2020-S21;11;7;18;404;418;832;79;327708
52;2020-S21;13;13;26;648;398;1057;89;195383
52;2020-S21;17;10;28;487;168;663;90;57819
52;2020-S21;120;103;229;5906;4330;10486;0;3801797
53;2020-S21;9;4;13;288;357;656;09;356171
53;2020-S21;7;5;12;254;289;547;19;417460
53;2020-S21;14;8;22;659;649;1308;29;336312
53;2020-S21;19;19;38;756;658;1415;39;378200
53;2020-S21;19;14;33;734;636;1370;49;424113
53;2020-S21;15;20;35;690;627;1317;59;442875
53;2020-S21;3;3;6;427;387;814;69;436709
53;2020-S21;5;3;8;368;320;688;79;310902
53;2020-S21;6;5;11;503;360;863;89;188000
53;2020-S21;11;2;13;288;107;410;90;49637
53;2020-S21;108;83;191;4967;4391;9389;0;3340379
75;2020-S21;6;4;10;435;545;991;09;598395
75;2020-S21;12;5;17;582;542;1130;19;694926
75;2020-S21;22;17;39;1400;855;2263;29;595642
75;2020-S21;25;13;39;1533;941;2480;39;679104
75;2020-S21;23;11;34;1599;928;2532;49;757513
75;2020-S21;22;15;37;1628;969;2601;59;804241
75;2020-S21;12;13;25;952;777;1732;69;809683
75;2020-S21;4;14;18;692;759;1451;79;601384
75;2020-S21;14;16;30;888;618;1506;89;353294
75;2020-S21;12;4;16;790;247;1038;90;105800
75;2020-S21;152;112;265;10501;7185;17731;0;5999982
76;2020-S21;1;3;4;419;545;998;09;624545
76;2020-S21;4;1;5;563;545;1118;19;695911
76;2020-S21;11;8;19;1608;976;2586;29;635780
76;2020-S21;7;18;25;1789;1095;2884;39;694345
76;2020-S21;10;10;20;1893;1146;3039;49;740353
76;2020-S21;11;6;17;1942;1294;3236;59;786358
76;2020-S21;7;5;12;1400;1325;2727;69;753886
76;2020-S21;14;14;28;1274;1350;2627;79;572470
76;2020-S21;28;12;40;1637;1068;2705;89;325110
76;2020-S21;46;15;61;1361;461;1823;90;96100
76;2020-S21;139;93;233;13891;9814;23760;0;5924858
84;2020-S21;4;6;11;751;811;1571;09;940637
84;2020-S21;4;14;18;697;758;1462;19;999616
84;2020-S21;17;30;47;1842;1358;3202;29;894918
84;2020-S21;20;19;40;1980;1391;3377;39;1005784
84;2020-S21;19;19;38;1819;1250;3070;49;1035354
84;2020-S21;17;11;28;1848;1372;3223;59;1044459
84;2020-S21;11;10;21;1346;1299;2647;69;926660
84;2020-S21;14;14;28;1182;1254;2437;79;687362
84;2020-S21;31;21;52;1297;976;2274;89;387722
84;2020-S21;25;9;34;903;330;1235;90;109865
84;2020-S21;162;153;317;13665;10804;24504;0;8032377
93;2020-S21;4;5;9;410;492;932;09;551927
93;2020-S21;4;2;7;550;534;1135;19;576838
93;2020-S21;18;6;25;1642;1002;2745;29;509956
93;2020-S21;15;6;22;1894;1257;3266;39;599102
93;2020-S21;23;12;36;1939;1317;3397;49;631386
93;2020-S21;22;20;43;2133;1547;3824;59;678493
93;2020-S21;15;20;37;1592;1518;3281;69;632786
93;2020-S21;12;19;32;1432;1444;2998;79;509519
93;2020-S21;33;13;46;1467;967;2538;89;284990
93;2020-S21;38;10;48;1100;324;1470;90;80654
93;2020-S21;184;114;306;14160;10408;25594;0;5055651
94;2020-S21;0;0;0;12;23;35;09;33744
94;2020-S21;1;0;1;44;28;72;19;34811
94;2020-S21;1;0;1;130;58;188;29;33361
94;2020-S21;1;2;3;148;90;238;39;43624
94;2020-S21;3;1;4;127;93;220;49;45205
94;2020-S21;0;1;1;154;112;266;59;47970
94;2020-S21;1;1;2;109;117;226;69;45095
94;2020-S21;1;0;1;80;95;175;79;36685
94;2020-S21;0;0;0;67;52;119;89;19405
94;2020-S21;0;0;0;29;16;45;90;4779
94;2020-S21;8;5;13;900;684;1584;0;344679
01;2020-S22;0;0;0;3;8;11;09;40134
01;2020-S22;0;1;1;29;31;60;19;50483
01;2020-S22;0;1;1;90;66;158;29;34558
01;2020-S22;0;0;0;64;52;116;39;37149
01;2020-S22;1;0;1;72;65;138;49;48928
01;2020-S22;0;0;0;73;61;134;59;60524
01;2020-S22;0;0;0;69;52;121;69;51113
01;2020-S22;0;0;0;27;29;56;79;33062
01;2020-S22;0;0;0;10;9;19;89;16008
01;2020-S22;0;0;0;1;0;1;90;4920
01;2020-S22;1;2;3;438;373;814;0;376879
02;2020-S22;0;0;0;13;21;34;09;33991
02;2020-S22;0;0;0;43;37;80;19;43014
02;2020-S22;0;0;0;105;92;197;29;31496
02;2020-S22;0;0;0;68;55;123;39;34280
02;2020-S22;0;0;0;74;59;133;49;42967
02;2020-S22;3;1;4;96;82;178;59;62671
02;2020-S22;0;0;0;80;52;132;69;52556
02;2020-S22;0;0;0;30;31;61;79;33509
02;2020-S22;1;0;1;18;8;26;89;18767
02;2020-S22;0;0;0;5;1;6;90;5498
02;2020-S22;4;1;5;533;438;971;0;358749
03;2020-S22;4;1;8;27;16;53;09;62043
03;2020-S22;11;11;26;79;87;184;19;58638
03;2020-S22;6;20;28;112;131;267;29;40421
03;2020-S22;12;17;30;133;120;263;39;39602
03;2020-S22;7;11;23;91;89;199;49;34757
03;2020-S22;5;5;12;77;58;143;59;27026
03;2020-S22;3;7;10;41;46;90;69;17446
03;2020-S22;1;1;3;16;14;33;79;7368
03;2020-S22;0;4;4;8;10;18;89;2721
03;2020-S22;0;1;1;0;1;1;90;669
03;2020-S22;49;78;145;584;572;1251;0;290691
04;2020-S22;0;1;1;36;45;82;09;121691
04;2020-S22;3;1;4;131;108;239;19;134452
04;2020-S22;3;2;5;308;237;545;29;98215
04;2020-S22;1;0;1;311;213;524;39;104568
04;2020-S22;1;2;3;256;215;471;49;113615
04;2020-S22;0;0;0;257;278;536;59;125597
04;2020-S22;0;2;2;209;295;504;69;89851
04;2020-S22;0;0;0;142;176;318;79;46693
04;2020-S22;0;0;0;83;52;135;89;20815
04;2020-S22;0;0;0;15;13;28;90;4462
04;2020-S22;8;8;16;1748;1632;3382;0;859959
05;2020-S22;0;0;0;0;0;0;09;703.704828175651
05;2020-S22;0;0;0;0;0;0;19;723.725880519921
05;2020-S22;0;0;0;0;0;0;29;475.133162078732
05;2020-S22;0;0;0;0;0;0;39;764.547319147651
05;2020-S22;0;0;0;0;0;0;49;1017.17633756848
05;2020-S22;0;0;0;1;0;1;59;978.233665832332
05;2020-S22;0;0;0;0;0;0;69;674.735312241807
05;2020-S22;0;0;0;0;0;0;79;405.196420115493
05;2020-S22;0;0;0;0;0;0;89;210.595968638888
05;2020-S22;0;0;0;0;0;0;90;43.9511056810479
05;2020-S22;0;0;0;1;0;1;0;5997
06;2020-S22;3;0;3;33;25;59;09;84963
06;2020-S22;5;29;34;31;74;105;19;65294
06;2020-S22;25;99;124;99;201;300;29;36651
06;2020-S22;22;37;59;86;115;201;39;37697
06;2020-S22;13;22;35;61;66;127;49;28132
06;2020-S22;10;11;21;37;49;86;59;14768
06;2020-S22;3;5;8;15;23;38;69;7746
06;2020-S22;0;2;2;7;14;21;79;3034
06;2020-S22;0;0;0;0;0;0;89;1005
06;2020-S22;0;0;0;1;0;1;90;181
06;2020-S22;81;206;287;371;568;940;0;279471
07;2020-S22;0;0;0;1;0;1;09;1034
07;2020-S22;0;0;0;3;2;5;19;835
07;2020-S22;0;0;0;8;1;9;29;1605
07;2020-S22;0;0;0;2;3;5;39;1752
07;2020-S22;0;0;0;6;6;12;49;1808
07;2020-S22;0;0;0;2;10;12;59;1548
07;2020-S22;0;0;0;1;2;3;69;742
07;2020-S22;0;0;0;3;1;4;79;421
07;2020-S22;0;0;0;1;1;2;89;181
07;2020-S22;0;0;0;0;0;0;90;35
07;2020-S22;0;0;0;27;26;53;0;9961
08;2020-S22;0;0;0;1;1;2;09;5712.98144471701
08;2020-S22;0;0;0;0;1;1;19;5939.43465671908
08;2020-S22;0;0;0;5;3;8;29;3799.05464202964
08;2020-S22;0;0;0;4;9;13;39;4598.38462039786
08;2020-S22;0;0;0;2;11;13;49;5611.98359257117
08;2020-S22;0;1;1;7;10;17;59;5042.53434487755
08;2020-S22;0;0;0;11;4;15;69;3060.02499200135
08;2020-S22;0;0;0;3;4;7;79;1152.93437717932
08;2020-S22;0;0;0;0;1;1;89;346.012162334751
08;2020-S22;0;0;0;0;0;0;90;70.6551671722845
08;2020-S22;0;1;1;33;44;77;0;35334
11;2020-S22;17;14;45;1253;1501;2856;09;1594856
11;2020-S22;26;46;73;1503;1662;3200;19;1546109
11;2020-S22;84;57;141;3923;2961;6902;29;1651917
11;2020-S22;77;52;130;4553;3445;8012;39;1757848
11;2020-S22;90;66;156;4060;3133;7217;49;1671811
11;2020-S22;82;48;131;4192;3422;7636;59;1538636
11;2020-S22;57;68;125;3096;2943;6049;69;1177841
11;2020-S22;37;40;77;2533;2463;5014;79;792962
11;2020-S22;100;46;147;2566;1628;4210;89;424358
11;2020-S22;131;11;142;1715;515;2234;90;121872
11;2020-S22;702;448;1171;29426;23712;53424;0;12278210
