"nb_ucd","nb_doses","type_de_vaccin","date"
80723,403615,"Pfizer",2021-01-22
1563,15630,"Moderna",2021-01-22
76506,459036,"Pfizer",2021-01-24
1365,13650,"Moderna",2021-01-24
75279,451674,"Pfizer",2021-01-31
4128,41280,"Moderna",2021-01-31
31506,315060,"AstraZeneca",2021-02-12
69436,416616,"Pfizer",2021-02-12
12800,128000,"Moderna",2021-02-12
31506,315060,"AstraZeneca",2021-02-17
69436,416616,"Pfizer",2021-02-17
12800,128000,"Moderna",2021-02-17
22782,227820,"AstraZeneca",2021-02-26
105886,635316,"Pfizer",2021-02-26
6205,62050,"Moderna",2021-02-26
9779,97790,"AstraZeneca",2021-03-08
99079,594474,"Pfizer",2021-03-08
22696,226960,"Moderna",2021-03-08
3633,36330,"AstraZeneca",2021-03-19
110758,664548,"Pfizer",2021-03-19
30779,307790,"Moderna",2021-03-19
157405,944430,"Pfizer",2021-03-26
16834,168340,"Moderna",2021-03-26
2980,29800,"AstraZeneca",2021-03-26
21517,215170,"Moderna",2021-03-31
3014,30140,"AstraZeneca",2021-03-31
125489,752934,"Pfizer",2021-03-31
155957,935742,"Pfizer",2021-04-02
3381,33810,"AstraZeneca",2021-04-02
42916,429160,"Moderna",2021-04-02
39042,390420,"Moderna",2021-04-07
202766,1216596,"Pfizer",2021-04-07
2973,29730,"AstraZeneca",2021-04-07
4159,41590,"AstraZeneca",2021-04-13
160479,962874,"Pfizer",2021-04-13
50985,509850,"Moderna",2021-04-13
220779,1324674,"Pfizer",2021-04-15
58248,582480,"Moderna",2021-04-15
5772,57720,"AstraZeneca",2021-04-15
14197,141970,"AstraZeneca",2021-04-20
178418,1070508,"Pfizer",2021-04-20
43203,432030,"Moderna",2021-04-20
12706,127060,"AstraZeneca",2021-04-23
31435,314350,"Moderna",2021-04-23
239080,1434480,"Pfizer",2021-04-23
